state,obesity,strengthTraining
AL,35.6,25.7
AK,29.8,34.1
AZ,28.4,30.7
AR,34.5,24.4
CA,24.2,33
CO,20.2,35.4
CT,25.3,31.2
DE,29.7,30.5
DC,22.1,33.6
FL,26.8,31.9
GA,30.7,29.6
HI,22.7,33.3
ID,28.6,29.9
IL,30.8,31.5
IN,31.3,27
IA,32.1,29.8
KS,34.2,29
KY,34.6,28.4
LA,36.2,27.2
ME,30,27.9
MD,28.9,32.7
MA,24.3,31.5
MI,31.2,29.3
MN,26.1,31.9
MS,35.6,26.5
MO,32.4,28.8
MT,23.6,32.9
NE,31.4,31.2
NV,26.7,34.3
NH,26.3,31.6
NJ,25.6,31.5
NM,28.8,33.7
NY,25,30.2
NC,30.1,29.3
ND,31,27.6
OH,29.8,29.5
OK,33.9,26.2
OR,30.1,30.4
PA,30,29.6
RI,26,28.7
SC,31.7,29.4
SD,30.4,28.8
TN,33.8,27.6
TX,32.4,29.3
UT,24.5,34.8
VT,25.1,30.5
VA,29.2,32.3
WA,26.4,31.8
WV,35.6,20.9
WI,30.7,28.6
WY,29,32.1
